Study,Date,Hours
Other,7/25,0
Soft Skills,7/25,0
Data Science,7/26,3
Leitura,7/26,0
Japanese,7/26,0
SQL,7/26,0
Python,7/26,0
Faculdade,7/26,0
Other,7/26,0
Soft Skills,7/26,0
Data Science,7/27,1.1
Leitura,7/27,0
Japanese,7/27,0
SQL,7/27,0
Python,7/27,0
Faculdade,7/27,0
Other,7/27,0
Soft Skills,7/27,0
Data Science,7/28,2.83
Leitura,7/28,0
Japanese,7/28,0
SQL,7/28,0
Python,7/28,0
Faculdade,7/28,0
Other,7/28,0.4
Soft Skills,7/28,0
Data Science,7/29,2
Leitura,7/29,0
Japanese,7/29,0
SQL,7/29,0
Python,7/29,0
Faculdade,7/29,1
Other,7/29,3.1
Soft Skills,7/29,0
Data Science,7/30,2.15
Leitura,7/30,0.25
Japanese,7/30,0
SQL,7/30,0
Python,7/30,0
Faculdade,7/30,0.6
Other,7/30,0
Soft Skills,7/30,0
Data Science,7/31,3.92
Leitura,7/31,0
Japanese,7/31,0
SQL,7/31,0
Python,7/31,0
Faculdade,7/31,0
Other,7/31,0.65
Soft Skills,7/31,0
Data Science,8/1,1.45
Leitura,8/1,0
Japanese,8/1,0
SQL,8/1,0
Python,8/1,0
Faculdade,8/1,1.9
Other,8/1,1
Soft Skills,8/1,0
PowerBI,8/1,0.75
Data Science,8/2,2.25
Leitura,8/2,0
Japanese,8/2,0
SQL,8/2,0
Python,8/2,0
Faculdade,8/2,1.5
Other,8/2,0
Soft Skills,8/2,0
PowerBI,8/2,0
Data Science,8/3,5.27
Leitura,8/3,0
Japanese,8/3,0
SQL,8/3,0
Python,8/3,0
Faculdade,8/3,0
Other,8/3,0
Soft Skills,8/3,0
PowerBI,8/3,0
Data Science,8/4,1
Leitura,8/4,0.5
Japanese,8/4,0
SQL,8/4,0
Python,8/4,0
Faculdade,8/4,0
Other,8/4,0
Soft Skills,8/4,0
PowerBI,8/4,1
Data Science,8/5,2.63
Leitura,8/5,0.25
Japanese,8/5,0
SQL,8/5,0
Python,8/5,0
Faculdade,8/5,1.83
Other,8/5,0.58
Soft Skills,8/5,0
PowerBI,8/5,0
Data Science,8/6,3.75
Leitura,8/6,0.25
Japanese,8/6,0
SQL,8/6,0
Python,8/6,0
Faculdade,8/6,1
Other,8/6,0.5
Soft Skills,8/6,0
PowerBI,8/6,0
Data Science,8/7,2.3
Leitura,8/7,0.4
Japanese,8/7,0
SQL,8/7,0
Python,8/7,0
Faculdade,8/7,0.5
Other,8/7,1.25
Soft Skills,8/7,0
PowerBI,8/7,0
Data Science,8/8,4.92
Leitura,8/8,0.35
Japanese,8/8,0
SQL,8/8,0
Python,8/8,0
Faculdade,8/8,1.25
Other,8/8,0
Soft Skills,8/8,0
PowerBI,8/8,0
Data Science,8/9,2.57
Leitura,8/9,0
Japanese,8/9,0
SQL,8/9,0
Python,8/9,0
Faculdade,8/9,0.52
Other,8/9,1.25
Soft Skills,8/9,0
PowerBI,8/9,0
Data Science,8/10,2.17
Leitura,8/10,0
Japanese,8/10,0
SQL,8/10,0
Python,8/10,0
Faculdade,8/10,0
Other,8/10,2.75
Soft Skills,8/10,0
PowerBI,8/10,0
Data Science,8/11,1.9
Leitura,8/11,0.35
Japanese,8/11,0
SQL,8/11,0
Python,8/11,0
Faculdade,8/11,0
Other,8/11,0.5
Soft Skills,8/11,0
PowerBI,8/11,0
Data Science,8/12,2.08
Leitura,8/12,0
Japanese,8/12,0
SQL,8/12,0
Python,8/12,0
Faculdade,8/12,1.33
Other,8/12,2.7
Soft Skills,8/12,0
PowerBI,8/12,0
Data Science,8/13,2.85
Leitura,8/13,0.25
Japanese,8/13,0
SQL,8/13,0
Python,8/13,0
Faculdade,8/13,1.33
Other,8/13,0
Soft Skills,8/13,0
PowerBI,8/13,0
Data Science,8/14,2
Leitura,8/14,0
Japanese,8/14,0
SQL,8/14,0
Python,8/14,0
Faculdade,8/14,0.68
Other,8/14,1.5
Soft Skills,8/14,0
PowerBI,8/14,0
Data Science,8/15,4.33
Leitura,8/15,0.33
Japanese,8/15,0
SQL,8/15,0
Python,8/15,0
Faculdade,8/15,0.59
Other,8/15,0.25
Soft Skills,8/15,0
PowerBI,8/15,0
Data Science,8/16,2.5
Leitura,8/16,0.25
Japanese,8/16,0
SQL,8/16,0
Python,8/16,0
Faculdade,8/16,1.95
Other,8/16,0.5
Soft Skills,8/16,0
PowerBI,8/16,0
Planning,8/16,0.33
